Date,Open,High,Low,Close
2-Jan-10,9954.45,10184.3,9920,10151.65
4-Jan-10,10777,10841.75,10777,10829.35
6-Jan-10,10776.3,10863.85,10608.8,10631.7
7-Jan-10,11245.15,11282.7,11215.45,11270.4
9-Jan-10,11825.8,11999,11825.8,11983.2
10-Jan-10,12604.9,12857.55,12604.9,12846.35
11-Jan-10,13111.35,13223.8,13111.35,13207.85
12-Jan-10,12344.5,12653.7,12328.6,12637.3
13-Jan-10,10533.1,10709.65,10533.1,10690.25
14-Jan-10,10724.75,10832.6,10724.75,10787.05
15-Jan-10,10814.15,10848.5,10745.7,10760
18-Jan-10,10744.55,10834.7,10726,10811.2
19-Jan-10,10835.3,10896.5,10693.8,10709.15
20-Jan-10,10727.35,10818.5,10636.8,10701.95
21-Jan-10,10670.25,10670.25,10408.85,10434.9
22-Jan-10,10434,10434,10094.05,10350.75
25-Jan-10,10317.1,10333.25,10147.35,10167.85
27-Jan-10,10093.35,10132.45,9763.95,9801.65
28-Jan-10,9854.75,9999.3,9825.85,9905.65
29-Jan-10,9836.15,10014.3,9646.6,9985.7
2-Feb-10,10182.15,10287.25,10015.55,10042.05
3-Feb-10,10137.45,10323.8,10137.45,10305.55
6-Feb-10,10645.3,10750.55,10622.45,10729.6
7-Feb-10,11285.95,11333,11210.4,11239.95
8-Feb-10,11648.45,11702.4,11648.45,11698.75
9-Feb-10,12021.35,12100.6,12015.25,12038.8
11-Feb-10,13208.75,13325.45,13182.1,13307.9
12-Feb-10,12706.9,12846.15,12640.85,12683.9
15-Feb-10,10144.95,10144.95,10017.8,10025.95
16-Feb-10,10064.6,10125.4,9982.85,10103.5
17-Feb-10,10156.55,10256.45,10150.2,10209.65
18-Feb-10,10230.6,10237.35,10110.4,10129.5
19-Feb-10,10071.1,10097.55,9955.9,10014.75
22-Feb-10,10081,10139.85,9933.95,9948.5
23-Feb-10,9941.15,10002.3,9903.15,9928.25
24-Feb-10,9897.5,9951.95,9871.2,9936.6
25-Feb-10,9962.45,9981.75,9904.35,9918.35
26-Feb-10,9931.85,10181,9919.55,10099.95
2-Mar-10,10027,10263.15,10027,10253.1
3-Mar-10,10333.95,10508.75,10333.95,10500.9
5-Mar-10,11066.2,11117.15,11022.05,11061.9
6-Mar-10,10823.65,10907,10823.65,10896.05
8-Mar-10,11729.4,11774.55,11706.65,11748.8
9-Mar-10,12014.3,12110.35,12014.3,12078.6
11-Mar-10,13309.8,13433.05,13309.8,13352.7
12-Mar-10,12694.9,12728.5,12431.75,12500.15
15-Mar-10,10534,10534,10413.1,10446.15
16-Mar-10,10479.55,10514.25,10436.9,10508.2
17-Mar-10,10544,10632.9,10530.65,10542.4
18-Mar-10,10555.2,10589.15,10522.8,10561.2
19-Mar-10,10567.6,10634.1,10567.6,10607
22-Mar-10,10521.05,10624.2,10490.9,10512.1
23-Mar-10,10505.6,10608.8,10505.6,10549.9
25-Mar-10,10568.15,10591.7,10512.9,10573.35
26-Mar-10,10591.25,10697.8,10591.25,10691.45
29-Mar-10,10718.55,10762.65,10711.5,10733.55
30-Mar-10,10763.05,10815.9,10738.4,10756.95
31-Mar-10,10784,10822.4,10740.15,10773.75
